date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:16:28	329/329	---M-Z	200	added ('OK')	text/plain	date:Sat,%2004%20Feb%202023%2009:16:27%20GMT	https://www.vaxtrivent.com/robots.txt		(from )
03:16:29	61935/61935	---M-Z	200	added ('OK')	text/html	etag:W/%22f8fa890bf941a3010444dad1da9ef370%22	https://www.vaxtrivent.com/	/Users/alaseinde/websites/vax/www.vaxtrivent.com/index.html	(from )
03:16:29	3405/3405	---M--	200	added ('OK')	image/png	etag:COfD3ZWgwOsCEAE=	https://images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234285863-5SIQRKQAD4M3RW3RX6LU/favicon.ico?format=100w	/Users/alaseinde/websites/vax/images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234285863-5SIQRKQAD4M3RW3RX6LU/faviconfc89.png	(from https://www.vaxtrivent.com/)
03:16:30	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2004%20Feb%202023%2009:16:30%20GMT	http://static1.squarespace.com/static/578b7f2eff7c50a070650cb6/t/5e8c03a15a255f19a8954d9f/1586234276241/Screen+Shot+2020-04-06+at+10.34.32+PM.png?format=1500w	/Users/alaseinde/websites/vax/static1.squarespace.com/static/578b7f2eff7c50a070650cb6/t/5e8c03a15a255f19a8954d9f/1586234276241/Screen+Shot+2020-04-06+at+10.34.32+PM.126f7.delayed	(from https://www.vaxtrivent.com/)
03:16:31	34581/34581	---M--	200	added ('OK')	image/png	etag:CJjs8Kuvv+sCEAE=	https://images.squarespace-cdn.com/content/578b7f2eff7c50a070650cb6/1586234274157-84N1RRZRZ1HAK5PNPK3I/Screen+Shot+2020-04-06+at+10.34.32+PM.png?content-type=image%2Fpng	/Users/alaseinde/websites/vax/images.squarespace-cdn.com/content/578b7f2eff7c50a070650cb6/1586234274157-84N1RRZRZ1HAK5PNPK3I/Screen+Shot+2020-04-06+at+10.34.32+PM5d45.png	(from https://www.vaxtrivent.com/)
03:16:32	8/8	---M--	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2009:16:32%20GMT	https://images.squarespace-cdn.com/	/Users/alaseinde/websites/vax/images.squarespace-cdn.com/index.html	(from https://www.vaxtrivent.com/)
03:16:33	1049/1049	---MC-	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2009:16:32%20GMT	https://fonts.googleapis.com/css2?family=Roboto+Mono:ital,wght@0,400;0,500;0,700;1,500;1,700	/Users/alaseinde/websites/vax/fonts.googleapis.com/css2900d.css	(from https://www.vaxtrivent.com/)
03:16:33	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	/Users/alaseinde/websites/vax/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.vaxtrivent.com/)
03:16:37	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	/Users/alaseinde/websites/vax/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.vaxtrivent.com/)
03:16:39	45422/45422	---M-Z	200	added ('OK')	text/javascript	etag:%224978026ae33e39dad531f8db5695275a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a9e4bb07bb8d9c8fc4464-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a9e4bb07bb8d9c8fc4464-min.en-US.js	(from https://www.vaxtrivent.com/)
03:16:43	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22ed50d686d52e72628c6a3bead3317fef%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	(from https://www.vaxtrivent.com/)
03:16:53	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22c7db15035020752c23874ffad6594fb7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	(from https://www.vaxtrivent.com/)
03:16:56	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://www.vaxtrivent.com/)
03:17:04	713354/713354	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2009:16:56%20GMT	https://static1.squarespace.com/static/sitecss/578b7f2eff7c50a070650cb6/44/54d3906fe4b04c1c9981b00e/5d71780f77a52f00017afca8/4945/site.css	/Users/alaseinde/websites/vax/static1.squarespace.com/static/sitecss/578b7f2eff7c50a070650cb6/44/54d3906fe4b04c1c9981b00e/5d71780f77a52f00017afca8/4945/site.css	(from https://www.vaxtrivent.com/)
03:17:05	249418/249418	---M-Z	200	added ('OK')	text/javascript	etag:%221db5b40b9a94398cac490ca0a1a5f33a%22	http://assets.squarespace.com/universal/scripts-compressed/performance-583aaa5ee6ef2ffadfe40-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/performance-583aaa5ee6ef2ffadfe40-min.en-US.js	(from https://www.vaxtrivent.com/)
03:17:11	5454/5454	---M--	200	added ('OK')	image/svg+xml	etag:W/%22928a907d76cd94f2cfcffc8f494aef79%22	https://www.vaxtrivent.com/assets/ui-icons.svg	/Users/alaseinde/websites/vax/www.vaxtrivent.com/assets/ui-icons.svg	(from https://www.vaxtrivent.com/)
03:17:13	742953/742953	---M-Z	200	added ('OK')	text/javascript	etag:%2290a5978758425b3916b42fc20a0eed72%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-1e40c2d559aaea1e42779-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/common-vendors-1e40c2d559aaea1e42779-min.en-US.js	(from https://www.vaxtrivent.com/)
03:17:15	53930/53930	---M-Z	200	added ('OK')	text/html	etag:W/%2281259a6fb3e4a885ef904af88fe71522--gzip%22	https://www.vaxtrivent.com/about-us	/Users/alaseinde/websites/vax/www.vaxtrivent.com/about-us.html	(from https://www.vaxtrivent.com/)
03:17:24	52730/52730	---M-Z	200	added ('OK')	text/html	etag:W/%2245e0ae20af4c8b8ab1ff63f0198823f4%22	https://www.vaxtrivent.com/pricing-services	/Users/alaseinde/websites/vax/www.vaxtrivent.com/pricing-services.html	(from https://www.vaxtrivent.com/)
03:17:25	53690/53690	---M-Z	200	added ('OK')	text/html	etag:W/%2233d4a895c122e7dd6af143340be17f4b--gzip%22	https://www.vaxtrivent.com/cheaplazyfoodie	/Users/alaseinde/websites/vax/www.vaxtrivent.com/cheaplazyfoodie.html	(from https://www.vaxtrivent.com/)
03:17:25	1190558/1190558	---M-Z	200	added ('OK')	text/javascript	etag:%226fd5947b722ac4d2d406876d1776118b%22	http://assets.squarespace.com/universal/scripts-compressed/common-36db64cb7e7424caa7922-min.en-US.js	/Users/alaseinde/websites/vax/assets.squarespace.com/universal/scripts-compressed/common-36db64cb7e7424caa7922-min.en-US.js	(from https://www.vaxtrivent.com/)
03:17:25	55126/55126	---M-Z	200	added ('OK')	text/html	etag:W/%22fd8d602327dc190032cc4a2af2cf2a43--gzip%22	https://www.vaxtrivent.com/clients	/Users/alaseinde/websites/vax/www.vaxtrivent.com/clients.html	(from https://www.vaxtrivent.com/)
03:17:25	54920/54920	---MCZ	200	added ('OK')	text/html	etag:W/%220b37a62070e8e1e482e6994b0d36f45b--gzip%22	https://www.vaxtrivent.com/blog	/Users/alaseinde/websites/vax/www.vaxtrivent.com/blog.html	(from https://www.vaxtrivent.com/)
03:17:25	59703/59703	---M-Z	200	added ('OK')	text/html	etag:W/%224af7680c19c6aaa28bf3e7acfff16e34%22	https://www.vaxtrivent.com/contact-us-1	/Users/alaseinde/websites/vax/www.vaxtrivent.com/contact-us-1.html	(from https://www.vaxtrivent.com/)
03:17:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Feb%202023%2009:17:26%20GMT	http://images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234495723-XOWBG2RZ32R9RBUD26O3/Screen+Shot+2020-04-06+at+10.34.32+PM.jpg?format=1500w	/Users/alaseinde/websites/vax/images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234495723-XOWBG2RZ32R9RBUD26O3/Screen+Shot+2020-04-06+at+10.34.32+PM.1626f7.delayed	(from https://www.vaxtrivent.com/)
03:17:28	38729/38729	---M--	200	added ('OK')	image/jpeg	etag:CNfI+auvv+sCEAE=	https://images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234495723-XOWBG2RZ32R9RBUD26O3/Screen+Shot+2020-04-06+at+10.34.32+PM.jpg?format=1500w	/Users/alaseinde/websites/vax/images.squarespace-cdn.com/content/v1/578b7f2eff7c50a070650cb6/1586234495723-XOWBG2RZ32R9RBUD26O3/Screen+Shot+2020-04-06+at+10.34.32+PM26f7.jpg	(from https://www.vaxtrivent.com/)
03:17:30	48816/48816	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2009:17:28%20GMT	https://www.vaxtrivent.com/search	/Users/alaseinde/websites/vax/www.vaxtrivent.com/search.html	(from https://www.vaxtrivent.com/)
